id_titulo,formato,titulo,anio,fecha_referencia,pais_principal,pais,idioma_original,bloque_idioma,es_no_ingles,genero_principal,generos,segmento,atencion,interacciones,satisfaccion,sin_senal,budget,revenue,roi,cohorte_madura,muestra_balanceada,director,cast,description
PEL-41371,Película,#1 Cheerleader Camp,2010,2010-07-27,United States of America,United States of America,en,Inglés,False,Comedy,Comedy,Película · Inglés,7.203,98,4.8,False,,,,True,True,Mark Quod,"Charlene Tilton, Jay Gillespie, Harmony Blossom, Hector David Jr., Erica Duke",A pair of horny college guys get summer jobs at a sexy cheerleader camp.
PEL-44115,Película,127 Hours,2010,2010-11-12,France,"France, United Kingdom, United States of America",en,Inglés,False,Adventure,"Adventure, Drama, Thriller",Película · Inglés,37.971,7606,7.1,False,18000000.0,35700000.0,1.9833333333333334,True,True,Danny Boyle,"James Franco, Kate Mara, Amber Tamblyn, Clémence Poésy, Lizzy Caplan",The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.
PEL-44982,Película,13,2010,2010-03-12,United States of America,United States of America,en,Inglés,False,Drama,"Drama, Thriller",Película · Inglés,12.177,819,5.8,False,,3317662.0,,True,True,Gela Babluani,"Sam Riley, Jason Statham, Mickey Rourke, Ray Winstone, 50 Cent","A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men."
PEL-58857,Película,13 Assassins,2010,2010-09-09,Japan,"Japan, United Kingdom",ja,No inglés,True,Adventure,"Adventure, Drama, Action",Película · No inglés,16.249,1141,7.3,False,6000000.0,17555141.0,2.9258568333333335,True,True,Takashi Miike,"Koji Yakusho, Takayuki Yamada, Yûsuke Iseya, Goro Inagaki, Kazue Fukiishi",A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.
PEL-48015,Película,13Hrs,2010,2010-08-28,United Kingdom,United Kingdom,en,Inglés,False,Horror,"Horror, Action",Película · Inglés,7.476,69,4.4,False,,,,True,True,Jonathan Glendening,"Isabella Calthorpe, Tom Felton, Gemma Atkinson, Joshua Bowman, Peter Gadiot","Sarah Tyler returns to her troubled family home in the isolated countryside, for a much put-off visit. As a storm rages outside, Sarah, her family and friends shore up for the night, cut off from the outside world. But something comes out of the driving rain and darkness. Something that holds a dark secret so devastating that, in one night, it could wipe out the entire family."
PEL-34179,Película,14 Blades,2010,2010-02-04,Hong Kong,"Hong Kong, China, Singapore",zh,No inglés,True,Drama,"Drama, Action, Thriller",Película · No inglés,11.469,196,6.3,False,20000000.0,,,True,True,Daniel Lee,"Donnie Yen Chi-Tan, Zhao Wei, Wu Chun, Sammo Hung Kam-Bo, Kate Tsui Tsz-Shan","Commander Qinglong is the loyal leader of the assassin group that serves the emperor. But when his allies plan a rebellion against the ruler, he finds himself in danger."
PEL-40205,Película,16 Wishes,2010,2010-10-02,United States of America,United States of America,en,Inglés,False,Fantasy,"Fantasy, Drama, Family",Película · Inglés,26.027,1321,6.314,False,,,,True,True,Peter DeLuise,"Debby Ryan, Jean-Luc Bilodeau, Anna Mae Wills, Karissa Tynes, Brenda Crichlow","The story about Abby Jensen, a girl who's been eager to reach her 16th birthday and has kept a secret wish list since she was a little girl. When the Big Day actually arrives, utter disaster strikes, leaving Abby to think her birthday is ruined. But when a mysterious box of magical birthday candles arrives to turn things around, Abby's 16 Wishes start to come true. Her day gets better and better...until she makes one wish that threatens to change everything."
PEL-40912,Película,2001 Maniacs: Field of Screams,2010,2010-07-20,United States of America,United States of America,en,Inglés,False,Comedy,"Comedy, Horror",Película · Inglés,6.459,80,3.95,False,500000.0,,,True,True,Tim Sullivan,"Bill Moseley, Lin Shaye, Christa Campbell, Nivek Ogre, Andrea Leon","When this year's round of unsuspecting Northerners fail to show up for their annual Guts N' Glory Jamboree, the residents of Pleasant Valley take their cannibalistic carnival on the road and head to Iowa where they encounter spoiled heiresses Rome and Tina Sheraton, the cast and crew of their ""Road Rascals"" reality show. Performing ""The Bloodiest Show on Earth"", our Southern Maniacs prove more than ratings killers in what John Landis has called ""one of the rare sequels that surpasses the original""."
PEL-50053,Película,2010: Moby Dick,2010,2010-11-23,United States of America,United States of America,en,Inglés,False,Action,"Action, Adventure",Película · Inglés,6.573,69,3.0,False,500000.0,,,True,True,Trey Stokes,"Barry Bostwick, Renee O'Connor, Veronika Kurshinskaya, Bart Baggett, Matt Lagan","That infamous whale is bigger, badder and a whole lot stronger in this sci-fi reimagining of Herman Melville’s classic tale of the battle between man, sea and sea creature starring “Xena” alum Rene O’Connor as the (traditionally male) narrator. But the boat — now a high-tech submarine — is also bigger, and Capt. Ahab is as determined as ever to settle the score and take down the mighty sea mammal that maimed him."
PEL-37645,Película,22 Bullets,2010,2010-03-23,France,France,fr,No inglés,True,Drama,"Drama, Crime, Thriller",Película · No inglés,24.919,1219,6.677,False,24000000.0,,,True,True,Richard Berry,"Jean Reno, Kad Merad, Marina Foïs, Jean-Pierre Darroussin, JoeyStarr",A retired mobster goes on a revenge spree after being left for dead with 22 bullets in his body by his former childhood friend.
PEL-42941,Película,30 Days of Night: Dark Days,2010,2010-10-04,United States of America,United States of America,en,Inglés,False,Horror,"Horror, Thriller",Película · Inglés,19.058,524,5.0,False,,,,True,True,Ben Ketai,"Kiele Sanchez, Mia Kirshner, Diora Baird, Rhys Coiro, Harold Perrineau","After surviving the incidents in Barrow, Alaska, Stella Olemaun relocates to Los Angeles, where she intentionally attracts the attention of the local vampire population in order to avenge the death of her husband, Eben."
PEL-44877,Película,4.3.2.1,2010,2010-06-02,United Kingdom,United Kingdom,en,Inglés,False,Action,"Action, Thriller, Crime, Romance",Película · Inglés,7.454,202,5.52,False,4600000.0,1163967.0,0.2530363043478261,True,True,"Noel Clarke, Mark Davis","Emma Roberts, Noel Clarke, Ophelia Lovibond, Tamsin Egerton, Shanika Warren-Markland","Jo is chained down in a dead end supermarket job while all her friends are all out on their own separate adventures. But a chance encounter with some diamond thieves sends their separate worlds on a collision course with not only each other, but fate itself."
PEL-49821,Película,400 Against 1: A History of Organized Crime,2010,2010-07-22,Brazil,Brazil,pt,No inglés,True,Action,"Action, Crime, Drama",Película · No inglés,6.825,34,5.5,False,2740508.0,,,True,True,Caco Souza,"Daniel de Oliveira, Daniela Escobar, Fabrício Boliveira, Negra Li, Jefferson Brasil","The story of William da Silva Lima, the last survivor of the group that founded the Comando Vermelho at the end of the 1970s. It shows him living together with the political prisoners incurred under the same National Security Law and his leadership in the Ilha Grande Prison creating a type of unheard of conduct and solidarity in the Brazilian prisons. The film goes on to tell of the group's actions on the streets of Rio de Janeiro during the beginning of the 80s when they irritated the police with their daring robberies, as well as portraying the surprising love story between William and Tereza. The narrative weaves its way between the intimate conflict and the spectacular assaults and escapes."
PEL-29776,Película,6 Guns,2010,2010-03-30,United States of America,United States of America,en,Inglés,False,Action,"Action, Thriller, Western",Película · Inglés,4.251,33,5.0,False,100.0,,,True,True,Shane van Dyke,"Sage Mears, Anya Benton, Jason Ellefson, Greg Evigan, Valerie K. Garcia","When her family is gunned down in cold blood, a young girl convinces a bounty hunter to train her as a gunfighter so she can seek vengeance with a six-shooter."
PEL-41505,Película,6 Souls,2010,2010-03-27,United States of America,United States of America,en,Inglés,False,Horror,"Horror, Mystery, Thriller",Película · Inglés,11.89,709,6.1,False,22000000.0,851517.0,0.03870531818181818,True,True,"Björn Stein, Måns Mårlind","Julianne Moore, Jonathan Rhys Meyers, Jeffrey DeMunn, Frances Conroy, Nate Corddry",A female forensic psychiatrist discovers that all of one of her patient's multiple personalities are murder victims. She will have to find out what's happening before her time is finished.
